@relation Airport-weka.filters.unsupervised.attribute.Remove-R4

@attribute Numerical_1 numeric
@attribute Numerical_2 numeric
@attribute Country{EU,AL,AT,AX,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SJ,SK,TR,UA,XK,AS,AE,AF,AM,AZ,BD,BH,BN,BT,CC,CN,CX,CY,GE,HK,ID,IL,IN,IO,IQ,IR,JO,JP,KG,KH,KP,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MY,NP,OM,PH,PK,PS,QA,SA,SG,SY,TH,TJ,TL,TM,TW,UZ,VN,YE,NAC,AG,AI,AW,BB,BL,BS,BQ,BZ,CA,CR,CU,DM,DO,GD,GL,GP,GT,HN,HT,JM,KN,KY,LC,MF,MQ,MS,MX,NI,PA,PR,SV,TC,TT,US,VC,VG,VI,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,EH,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SD,SH,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,ZA,ZM,ZW,AN,AQ,GS,SAC,AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE,OC,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PW,SB,TO,TV,UM,VU,WF,WS,UKNC,UKN}
@attribute Altitude numeric
@attribute Timezone numeric
@attribute DST {U,E,N,A,S,O,Z}

@data
61.249172,28.903711,FI,338,2,E
62.166111,30.073611,FI,364,2,E
68.607269,27.405328,FI,481,2,E
62.662906,29.60755,FI,398,2,E
62.399453,25.678253,FI,459,2,E
63.127078,23.051442,FI,151,2,E
65.781889,24.5991,FI,61,2,E
64.285472,27.692414,FI,483,2,E
62.462502,22.393055,FI,407,2,E
63.721172,23.143131,FI,84,2,E
66.712883,27.156786,FI,692,2,E
65.987575,29.239381,FI,866,2,E
67.701022,24.84685,FI,644,2,E
63.00715,27.797756,FI,323,2,E
61.144158,25.693508,FI,502,2,E
61.044553,28.144397,FI,349,2,E
60.122203,19.898156,AX,17,2,E
62.946667,23.518889,FI,331,2,E
61.6866,27.201794,FI,329,2,E
60.333889,24.296389,FI,367,2,E
64.930061,25.354564,FI,47,2,E
61.245558,22.193356,FI,148,2,E
61.461686,21.799983,FI,44,2,E
65.402222,26.946944,FI,397,2,E
63.731917,25.926306,FI,528,2,E
64.688056,24.695833,FI,118,2,E
62.065481,28.356494,FI,292,2,E
66.564822,25.830411,FI,642,2,E
60.744722,24.107778,FI,407,2,E
61.943064,28.945136,FI,311,2,E
61.062389,26.798861,FI,417,2,E
67.395033,26.619133,FI,602,2,E
61.414147,23.604392,FI,390,2,E
61.77335,24.027006,FI,515,2,E
60.514142,22.262808,FI,161,2,E
60.896394,26.938353,FI,339,2,E
63.05065,21.762175,FI,19,2,E
62.171111,27.868611,FI,286,2,E
64.060547,24.715953,FI,252,2,E
54.6575,-6.215833,GB,268,0,E
54.398889,-7.651667,GB,155,0,E
54.618056,-5.8725,GB,15,0,E
55.042778,-7.161111,GB,22,0,E
52.453856,-1.748028,GB,327,0,E
52.369722,-1.479722,GB,267,0,E
52.607778,-1.031944,GB,469,0,E
51.894167,-2.167222,GB,101,0,E
52.5175,-2.259444,GB,283,0,E
51.668056,-2.056944,GB,433,0,E
52.040833,-1.095556,GB,448,0,E
52.192222,-1.614444,GB,159,0,E
53.353744,-2.27495,GB,257,0,E
